Enzyme,HF,$ / 200u,Meth.
AgeI,#[i.icon.check],50,
AseI,,46,
AvaI,,42,
BamHI,#[i.icon.check],36,
BanII,,46,
ClaI,,46,Dam
DraI,,45,
EcoRI,#[i.icon.check],34,
EcoRV,#[i.icon.check],38,
HindIII,#[i.icon.check],34,
KpnI,#[i.icon.check],38,
MfeI,#[i.icon.check],48,
MfeI ,#[i.icon.check],48,
NaeI,,42,
NdeI,,46,
NheI,#[i.icon.check],43,
NotI,#[i.icon.check],46,
NspI,,46,
PstI,#[i.icon.check],41,
PvuI,#[i.icon.check],46,
PvuI,#[i.icon.check],46,
SacI,#[i.icon.check],38,
SalI,#[i.icon.check],39,
ScaI,#[i.icon.check],43,
ScaI,#[i.icon.check],43,
SnaBI,,42,
SpeI,#[i.icon.check],43,
SphI,#[i.icon.check],46,
StyI,#[i.icon.check],48,
XbaI,,42,Dam
XhoI,,42,
